asdf_id,map_pf_incidence_rate.2020.mean,map_pf_incidence_rate.2019.mean,map_pf_incidence_rate.2018.mean,map_pf_incidence_rate.2017.mean,gpm_precipitation_v07b_yearly_mean.2020.mean,gpm_precipitation_v07b_yearly_mean.2019.mean,gpm_precipitation_v07b_yearly_mean.2018.mean,gpm_precipitation_v07b_yearly_mean.2017.mean,cru_ts_407_tmp_yearly_mean.2020.mean,cru_ts_407_tmp_yearly_mean.2019.mean,cru_ts_407_tmp_yearly_mean.2018.mean,cru_ts_407_tmp_yearly_mean.2017.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
55,0.3409694820169874,0.32371977328694546,0.326834096212151,0.2932928741000362,140.058848251,138.690907319,134.215263185,143.784548021,21.2083338102,21.4583338102,21.1666671435,21.6666669846,ADM2,55,55,BDI,BDI-ADM2-21766830B946017,Mpinga-Kay,ADM2
56,0.41647917096730974,0.3957245885465634,0.39851010263947645,0.35421770254350154,137.676730699,140.189782355,135.581948782,147.030446801,21.0801531937,21.3239004887,21.0337970355,21.5322337227,ADM2,56,56,BDI,BDI-ADM2-21766830B42216631,Nyabitsind,ADM2
57,0.4481727349555455,0.42497298243773685,0.4243548766304978,0.3642507024577294,141.345505621,142.907906503,137.738878979,144.98143546,20.6388385268,20.8610583046,20.576336859,21.0693917439,ADM2,57,57,BDI,BDI-ADM2-21766830B44526274,Ruyigi,ADM2
58,0.48919118610273093,0.46396564521241557,0.44367972426000957,0.3573366317338766,138.142341683,138.533901969,147.528174828,138.391740213,20.268590026,20.481410556,20.2083338138,20.7000004242,ADM2,58,58,BDI,BDI-ADM2-21766830B77313969,Shombo,ADM2
59,0.47069050026428194,0.4453442159007639,0.43789232181307797,0.3643295317694013,138.317442491,137.70442085,144.980857925,140.133274505,20.5250002543,20.7416669528,20.4583338102,20.950000445,ADM2,59,59,BDI,BDI-ADM2-21766830B30669572,Butezi,ADM2
60,0.4911959987972796,0.46908672511654154,0.45684545175562286,0.370205708778091,145.170340796,131.686041107,145.06356392,137.792233453,20.5250002543,20.7416669528,20.4583338102,20.950000445,ADM2,60,60,BDI,BDI-ADM2-21766830B73459677,Nyabikere,ADM2
61,0.4509889592382206,0.4289784938811125,0.4356209977385599,0.373860967110745,135.643996247,136.349614034,129.527640982,137.236066678,20.5621214783,20.7791669661,20.4950762304,20.9852277224,ADM2,61,61,BDI,BDI-ADM2-21766830B40014086,Bweru,ADM2
62,0.5027560426317927,0.48812735172825616,0.4824636682657817,0.40144006409415556,149.761911531,148.171561475,142.857219359,139.504798036,20.8250460703,21.0194869683,20.7639360498,21.2278206725,ADM2,62,62,BDI,BDI-ADM2-21766830B12116853,Gitaramuka,ADM2
63,0.3945099506445302,0.37553491245113785,0.37005579003948247,0.31043888061874914,158.201637475,154.276306122,150.985187501,148.17934158,19.5500003497,19.7250003815,19.5333339373,19.9833339055,ADM2,63,63,BDI,BDI-ADM2-21766830B50292947,Gashikanwa,ADM2
64,0.42668323723512414,0.3960592643289767,0.3690728843839612,0.2894547555422043,121.038461521,124.656047036,130.171865321,117.490477896,18.8583337466,19.0500003497,18.8333338102,19.3250002861,ADM2,64,64,BDI,BDI-ADM2-21766830B8428246,Mutaho,ADM2
65,0.4174046993624444,0.39004415968358286,0.3579674183580939,0.28329222893097694,125.336052237,125.626141621,128.755828054,115.496342705,18.9212386746,19.1113895048,18.8969966463,19.3848736828,ADM2,65,65,BDI,BDI-ADM2-21766830B73166665,Muhanga,ADM2
66,0.38239743542337495,0.36132960381165086,0.3465036929167141,0.2890226827350664,149.147009463,148.641607901,143.049157372,140.918798395,19.4117176352,19.5900497618,19.3933851277,19.851715349,ADM2,66,66,BDI,BDI-ADM2-21766830B52204066,Ngozi,ADM2
